id,name,district,neighbourhood,family,streets_or_extent,works_start,opening_or_end,date_confidence,lanes_before,lanes_after,lane_cut,permanence,covid_overlap,id_priority,notes,key_sources
BCN-1993-BORN,El Born / Ribera early pacification,Ciutat Vella,El Born,early_superilla,Passeig del Born and surrounding streets around Santa Maria del Mar,1993-01-01,1993-12-31,year,unknown,unknown,unknown,permanent,none,D,Often cited as the first Barcelona proto-superblock. Too early for open aforament series (from 2017).,TuneOurBlock WP02; Cities Forum Superblock overview
BCN-2005-GRACIA-VILA,Gràcia superilla around Plaça de la Vila,Gràcia,Vila de Gràcia,early_superilla,Streets around Plaça de la Vila de Gràcia (formerly Rius i Taulet),2005-09-01,2006-12-31,month-year,unknown,unknown,unknown,permanent,none,D,First Gràcia package: one-way changes; single platform; bollards. Pre-dates public MADT series.,Betevé 10 years of Gràcia superilles; TuneOurBlock WP02
BCN-2006-GRACIA-VERDI,Gràcia superilla Verdi / Virreina / Astúries,Gràcia,Vila de Gràcia,early_superilla,"Carrer de Verdi, Plaça de la Virreina, Carrer d'Astúries",2006-01-01,2006-12-31,year,unknown,unknown,unknown,permanent,none,D,Second Gràcia package. Same data limitation as Vila.,Betevé 10 years of Gràcia superilles
BCN-2016-POBLENOU,Poblenou Superilla,Sant Martí,El Poblenou,superilla_area,"3x3 blocks bounded by Badajoz, Pallars, Llacuna and Tànger",2016-09-01,2016-09-30,month,mixed interior streets,interior through-traffic removed / calmed,area filter,tactical_then_permanent,none,B,First Rueda-model Superilla. Opened European Mobility Week Sep 2016 as tactical; later consolidated. Strong case if nearby counters exist for 2017 onward; pre-2016 counts are the problem.,ASPB Salut als Carrers; TuneOurBlock WP02
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,Eixample,Sant Antoni,superilla_area,"Comte Borrell (Floridablanca–Manso); Tamarit (Viladomat–Comte d'Urgell); new square at junction",2017-01-01,2018-05-31,month,unknown,unknown,unknown,permanent,none,B,Completed May 2018 with market surroundings. Municipal technical report cited by Nello-Deakin: ADT -15% 2017–2019 and -21% 2017–2022. Good pre-COVID case.,ASPB Salut als Carrers; Nello-Deakin 2022 citing municipal report
BCN-2018-HORTA,Horta Superilla,Horta-Guinardó,Horta,superilla_area,"Carrer d'Horta / Fulton–Horta; Plaça Eivissa; neighbourhood entry street calmed to 10 km/h single platform",2018-10-01,2020-01-31,month,unknown,unknown,unknown,permanent,partial,B,Works from Oct 2018; functional actions still being reported into 2020. Lower baseline traffic than Eixample; ASPB found little air-quality change. COVID overlaps the tail of implementation.,ASPB Salut als Carrers; Ajuntament Superblock monograph
BCN-2014-HOSTAFRANCS,Hostafrancs Superilla (multi-phase),Sants-Montjuïc,Hostafrancs,superilla_area,"Forn; Ermengarda; Miquel Bleach; places Pérez Moya; Herenni; Joan Pelegrí; later Rector Triadó and Torre d'en Damians",2014-01-01,2021-11-30,multi-year,mixed,mixed,mixed,permanent,partial,B,Process from 2014; several single-platform streets. Jul–Nov 2021: Rector Triadó and Torre d'en Damians (Consell de Cent–Creu Coberta) made single-platform; parking/lane removed. Treat as a package until we can split phases.,Betevé; Tot Barcelona; El3 Dec 2021
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,Eixample,multiple,lane_reallocation,Carrer d'Aragó (Eixample sections with counters),2019-11-01,2019-11-30,month,6 traffic lanes,5 traffic + bus lane,1,permanent,none,C,Nello-Deakin Stage 1. Pre-COVID. Six counters. Useful as a high-capacity arterial cut.,Nello-Deakin 2022 Table 1
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,Eixample,Dreta / Esquerra de l'Eixample,tactical_urbanism,Carrer de Consell de Cent,2020-05-01,2020-05-31,month,2 traffic + bike,1 traffic + bike + tactical sidewalk,1,tactical,yes,C,May 2020. Later superseded by permanent green axis (separate row). One counter in Nello-Deakin.,Nello-Deakin 2022 Table 1
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,Eixample,Dreta de l'Eixample,tactical_urbanism,Carrer de Girona,2020-05-01,2020-06-30,month,2 traffic + bike,1 traffic + bike + tactical sidewalk,1,tactical,yes,C,May–June 2020. Later made permanent as green axis. One counter.,Nello-Deakin 2022 Table 1
